id,anchor,context
0,abatement,A47
1,abatement,A61
2,abatement,A62
3,abatement,C01
4,abatement,F16
5,abatement,F24
6,abatement,F28
7,abatement,H01
8,abatement,H04
9,abnormal position,B23
10,abnormal position,B41
11,abnormal position,D03
12,abnormal position,E03
13,absorbent properties,C08
14,absorbent properties,D01
15,absorbent properties,D21
16,acan,C07
17,accept information,A45
18,achieve authentication,H04
19,acid absorption,B01
20,acid absorption,B08
21,ack,G04
22,ack,G06
23,acoustooptic modulator,H01
24,acrylate groups,D21
25,activating position,A61
26,activating position,B65
27,activating position,G06
28,acylate with acids,C07
29,adapt for learning,G16
30,adaptive linear,G01
31,adaptive linear,H04
32,adhesive mounting,A47
33,adjacent laterally,A41
34,adjacent laterally,B23
35,adjust gas flow,C23
36,adjust gas flow,F23
37,adjustable multiple,B23
38,adjustable multiple,B25
39,aesthetic effects,A63
40,aesthetic effects,D03
41,agitate means,B01
42,agitate means,B28
43,air flow line,B63
44,air flow line,F04
45,air vent openings,B60
46,align with input shaft,F16
47,alpha gypsum,B32
48,alphatic,C09
49,aluminium compounds,C07
50,aluminium compounds,C08
51,alumino silicates,C02
52,alumino silicates,G03
53,ammonia recovery,C01
54,ammonia recovery,C10
55,androgen receptor modulators,C07
56,angular contact bearing,B23
57,angular contact bearing,B61
58,angular contact bearing,C21
59,angular contact bearing,F16
60,angular contact bearing,F42
61,angular contact bearing,G01
62,animal fats,A23
63,animal fats,C10
64,animal fats,C11
65,annular ends,B60
66,annular neck,B29
67,annular neck,B65
68,annular neck,F02
69,annular neck,G04
70,antiatherosclerotic,C07
71,antidiuretic,C07
72,antigen composition,A61
73,antigen composition,G01
74,apart elongated,B62
75,apart elongated,B64
76,apart elongated,E21
77,application messaging,G06
78,apply on tube,F16
79,apply to anode electrode,H01
80,apply to muscle,A61
81,apply to requests,H04
82,appropriate adjustment,B24
83,aralkynyl,C09
84,arc type,B22
85,arc type,B65
86,arc type,G01
87,arc type,H01
88,arc type,H05
89,arcade,A61
90,arcade,A63
91,arcuate means,B28
92,arcuate means,D03
93,arcuate means,H04
94,arm design,B24
95,arm design,F16
96,arm roller,B27
97,arm roller,B62
98,arm roller,E04
99,arrange in fashion,B21
100,arrange in fashion,B23
101,arrange in fashion,B41
102,arrange in fashion,G03
103,associated log,B27
104,automatic coffee,A47
105,auxiliary water,B28
106,auxiliary water,D06
107,auxiliary water,E03
108,auxiliary water,F24
109,average impact,B32
110,average impact,G01
111,average pore size,A61
112,average pore size,B23
113,average pore size,B24
114,average pore size,B41
115,average pore size,C01
116,average pore size,C04
117,average pore size,C10
118,average pore size,D21
119,average power ratio reduction,H04
120,axial extension,A61
121,axial extension,B05
122,axial extension,D03
123,axial extension,D06
124,axle boxes,B22
125,axle boxes,E21
126,axle boxes,G01
127,azabicyclo,C07
128,azabicyclo,G01
129,bandedge,G02
130,bandedge,H01
131,bandedge,H03
132,base fuels,C10
133,based interpolation,H04
134,based method,C01
135,based method,G01
136,based method,G06
137,based method,H04
138,based propellant,C06
139,based propellant,F02
140,based writing,G11
141,battery cell assembly,F28
142,battery cell assembly,H01
143,battery heater,H01
144,battery monitoring circuit,G01
145,beam traveling direction,H05
146,belt shifting,D01
147,belt shifting,D06
148,belt shifting,F16
149,belt shifting,G11
150,biocytin,A61
151,biocytin,C07
152,biocytin,C12
153,biomimetic,B25
154,biomimetic,C07
155,block selection signal,B41
156,blooming drains,H01
157,blooming drains,H04
158,board id,G01
159,board id,G06
160,board id,H05
161,board manufacture,C04
162,boom hydraulic cylinder,E02
163,brake arms,A63
164,brake arms,B62
165,brake arms,D01
166,brake arms,F15
167,breech mechanism,B25
168,breech mechanism,B29
169,broadband information,H04
170,browsers,H04
171,brush guard,A46
172,brush guard,B60
173,brush guard,B66
174,buck converter circuit,H05
175,buffer strip,F16
176,cable securing,G02
177,cable securing,H01
178,cache segments,G06
179,calibration status,G01
180,calling card,G06
