id,target,context
0,abatement of pollution,A47
1,act of abating,A47
2,active catalyst,A47
3,eliminating process,A47
4,forest region,A47
5,greenhouse gases,A47
6,increased rate,A47
7,measurement level,A47
8,minimising sounds,A47
9,mixing core materials,A47
10,multi pollution abatement device,A47
11,noise reduction,A47
12,pollution abatement,A47
13,pollution abatement incinerator,A47
14,pollution certificate,A47
15,rent abatement,A47
16,sorbent material,A47
17,source items pollution abatement technology,A47
18,stone abutments,A47
19,tax abatement,A47
20,water bodies,A47
21,emission abatement,A61
22,prevention,A61
23,prophylaxis,A61
24,pollution abatement,A62
25,abatement apparatus,C01
26,treatment,F16
27,abatement apparatus,F24
28,abating,F24
29,central hub,F24
30,control panel,F24
31,deficiency,F24
32,diminished chord,F24
33,diminished image,F24
34,diminishing,F24
35,eliminating,F24
36,eliminating emissions,F24
37,eliminating pollutants,F24
38,increasing,F24
39,increasing order,F24
40,mitigation,F24
41,pollution control,F24
42,processing unit,F24
43,removing air pollutants,F24
44,subsiding,F24
45,treating emissions,F24
46,noise abatement,F28
47,noise abatement,H01
48,emission abatement,H04
49,abnormal position data,B23
50,attitude,B23
51,closed position shown,B23
52,condition illustrated,B23
53,condition shown,B23
54,data,B23
55,information,B23
56,inoperative condition,B23
57,inoperative position,B23
58,open as shown,B23
59,open condition,B23
60,open position,B23
61,open position illustrated,B23
62,open position shown,B23
63,orientation,B23
64,position illustrated,B23
65,position shown,B23
66,tip data,B23
67,tip information,B23
68,wear data,B23
69,angular position,B41
70,positions,B41
71,abnormal breathing,D03
72,abnormal manner,D03
73,abnormal placement,D03
74,abnormal posture,D03
75,abnormal profit,D03
76,abnormal side,D03
77,anomaly scan,D03
78,depression,D03
79,deviated from,D03
80,engagement,D03
81,implant positioning,D03
82,irregular configuration,D03
83,locked position,D03
84,locked relationship,D03
85,normal position,D03
86,odd position,D03
87,place,D03
88,position,D03
89,position isomerism,D03
90,position vector,D03
91,rare placement,D03
92,recess,D03
93,relative position,D03
94,relative relationship,D03
95,situation,D03
96,unexpected position,D03
97,unison,D03
98,unusal arrangement,D03
99,unusual manner,D03
100,abnormal,E03
101,abnormal condition,E03
102,abnormal molar mass,E03
103,abnormal presentations,E03
104,abnormal psychology,E03
105,abnormality state,E03
106,axial position,E03
107,elevation,E03
108,emergency condition,E03
109,emergency position,E03
110,extent,E03
111,facing forward,E03
112,failure,E03
113,fault position,E03
114,fixed failure,E03
115,forward axis,E03
116,hardware abnormality,E03
117,hardware manufacturer,E03
118,inoperative position,E03
119,leakage,E03
120,normal position,E03
121,open position,E03
122,operating abnormality,E03
123,operative position,E03
124,overflow,E03
125,position vector,E03
126,state name,E03
127,unusual position,E03
128,unusual state,E03
129,upper position,E03
130,warning,E03
131,adsorbent properties,C08
132,cao,C08
133,characterization,C08
134,collateral properties,C08
135,colligative properties,C08
136,conformational properties,C08
137,dehumidifying properties,C08
138,elastomeric properties,C08
139,evaporated salt,C08
140,fluorescent properties,C08
141,geometrical properties,C08
142,housing properties,C08
143,hygroscopic,C08
144,hygroscopic properties,C08
145,ionic compound,C08
146,liquid holding capacity,C08
147,mechanical characteristics,C08
148,mechanical properties,C08
149,moisture barrier properties,C08
150,moisture proof properties,C08
151,nacl,C08
152,naoh,C08
153,physical properties,C08
154,properties,C08
155,reusable salt,C08
156,soaking properties,C08
